0,1,target,concept
0.47009071843107064,0.7282642914232076,1,0
0.26522113780066725,0.24516664919367304,0,0
0.4158721009442904,0.727759134886051,1,0
0.9632496477523979,0.3095292116987097,0,0
0.7313600836275068,0.9996631210081544,1,0
0.8719067324140709,0.14837140240973423,0,0
0.21261107077793095,0.41191045179367913,1,0
0.41657065947265437,0.12418351862815613,0,0
0.20114757363112812,0.4268068702100508,1,0
0.3164541391111041,0.21405707228960558,0,0
0.040487049146807785,0.22521968753574773,1,0
0.8439586945298337,0.3192238641709455,0,0
0.23060234066903773,0.9950862635989794,1,0
0.36571052771884516,0.20309238410576547,0,0
0.49334177818512226,0.8365136133737727,1,0
0.9991651305016425,0.46496101365413656,0,0
0.1698154262011824,0.6955897269235669,1,0
0.8611846650541565,0.3318134242633193,0,0
0.20691064433024053,0.686573222767188,1,0
0.7038401233828459,0.35028548708964014,0,0
0.08143883344267888,0.803009147079591,1,0
0.20093578728086292,0.0708477147025941,0,0
0.10061154138460227,0.21868637868026708,1,0
0.5152680043143939,0.22323688358029925,0,0
0.35461123846566256,0.70254540362515,1,0
0.799777932804895,0.5788586355814347,0,0
0.05576640753251316,0.12547339458164963,1,0
0.8295450896787718,0.9066715138777028,0,0
0.5839360937396286,0.7318404403706629,1,0
0.16203559999755235,0.12531500024934905,0,0
0.10429735341211088,0.9435972988171141,1,0
0.6315108465416529,0.5953851201233223,0,0
0.028919720517454617,0.06148202794640134,1,0
0.6353489149909375,0.6248969113338434,0,0
0.18615802729858422,0.3136623745613314,1,0
0.7325979803047155,0.6343004438215486,0,0
0.21728086769732446,0.5863302340112369,1,0
0.44873287427215935,0.41842218931304664,0,0
0.703031883640413,0.8823856652488811,1,0
0.7526277615087171,0.35668003153300587,0,0
0.674703530989016,0.7728271575491135,1,0
0.752110768160866,0.4192204300953164,0,0
0.4646169286560333,0.4964112233162923,1,0
0.8058255020525442,0.4315657789412308,0,0
0.010650787575618659,0.3399876322824019,1,0
0.9731797344983868,0.9381357496858177,0,0
0.2556785990752374,0.7330744874302565,1,0
0.8265170737760854,0.846359457306526,0,0
0.06751198289619953,0.8828122327717103,1,0
0.495011047731298,0.36289801323818494,0,0
0.03728575833338965,0.12158382027779024,1,0
0.9397722354041214,0.23091055540467975,0,0
0.31759637254035233,0.8695012298759583,1,0
0.10805458896891718,0.10269606816227428,0,0
0.5981831007141541,0.698326023414337,1,0
0.4340371829186639,0.15938103768079437,0,0
0.12442292421175594,0.37784266125684507,1,0
0.5731488124054004,0.4456802053216662,0,0
