psi_attribute0,psi_attribute1,psi_predict_proba,attribute0_mean,attribute0_std,attribute0_min,attribute0_max,attribute1_mean,attribute1_std,attribute1_min,attribute1_max,predict_proba_mean,predict_proba_std,predict_proba_min,predict_proba_max,correlation_attribute1_attribute0,correlation_predict_proba_attribute0,correlation_predict_proba_attribute1,attribute0_gmean,attribute0_hmean,attribute0_entropy,attribute0_median,attribute1_gmean,attribute1_hmean,attribute1_entropy,attribute1_median,predict_proba_gmean,predict_proba_hmean,predict_proba_entropy,predict_proba_median,attribute0_nr_outliers,attribute1_nr_outliers,predict_proba_nr_outliers,attribute0_iqr,attribute1_iqr,predict_proba_iqr,attribute0_uniqueness_ratio,attribute1_uniqueness_ratio,predict_proba_uniqueness_ratio,attribute0_sparsity,attribute1_sparsity,predict_proba_sparsity,prop_pca,compacness,kmeans_n_iter,kmeans_n_clusters,kmeans_inertia,kappa,last_kappa,predicted
0.7328464726248372,0.6244437369288618,0.3478743843665486,210.79600000000005,48.04909929888743,121.9,281.8,196.85,47.06225728336945,109.0,261.0,0.027101115610366412,0.05180056861114657,0.0,0.22966567640688876,0.9890070863913637,-0.5996387626189558,-0.6026376117469864,204.84582191512985,198.47928270378344,4.578263665675739,227.25,190.63968307145115,183.91328944208087,4.575342839291443,214.0,0.0,0.0,3.233762411421564,0.0,0,0,18,84.75,81.75,0.02364393209982046,0.97,0.76,0.4,0.0,0.0,0.6,0.01,60.7911416464144,3,3,52.46502804910562,0.08209033065609683,0.06191369606003749,0.12117323824665835
0.8043618735645204,1.3531619469950789,0.49432431211494043,211.83599999999998,48.376850879424765,131.8,281.8,198.66,47.60214323330453,119.0,261.0,0.02998977443749912,0.05672675940211612,0.0,0.24061536497079605,0.991147026688975,-0.6268050610168265,-0.6289493054413524,205.87802424442526,199.56653761755655,4.578247710340467,228.3,192.40506072616535,185.6961719412059,4.57528658169709,216.5,0.0,0.0,3.2507782688647344,0.0,0,0,16,91.17499999999998,89.0,0.03138571670195514,0.95,0.73,0.38,0.0,0.0,0.63,0.01,73.36525269794586,2,2,80.7545111182544,0.060248512060144144,0.06191369606003749,0.10205832361272237
0.30935006513053187,0.37841433229324434,0.12848847800034113,201.09299999999996,47.24163173184082,123.6,279.5,188.92,46.406565192107166,110.0,260.0,0.03285997018482869,0.05588412862727475,0.0,0.24061536497079605,0.9916442980800382,-0.5730160956502516,-0.5830473189955931,195.3202020897124,189.39808094378319,4.577200354700969,203.05,182.90548738686627,176.66990838393318,4.5743749214831295,193.5,0.0,0.0,3.431242485687645,0.0,0,0,10,81.75,82.75,0.05185775288621336,0.95,0.77,0.46,0.0,0.0,0.55,0.01,66.99697880191462,4,3,58.676715982907545,0.04036716386773764,0.06191369606003749,0.11251477757502926
0.21652523684977812,0.19218894749179738,0.038994116304843215,192.722,46.10143752003988,119.7,272.2,179.87,45.46163995139976,110.0,261.0,0.04213085258081433,0.062189017088575965,0.0,0.24061536497079605,0.9979224790763618,-0.5140353345126906,-0.5177028659058216,187.19819198975583,181.72354811507256,4.576718590219712,186.89999999999998,174.08746251529473,168.34674101605768,4.573337962164741,175.0,0.0,0.0,3.6244943937941,0.006342052553107309,0,0,9,75.725,76.75,0.0617035646099372,0.93,0.76,0.53,0.0,0.0,0.47,0.01,67.32772582992244,6,3,57.54480868353846,0.041067333750260726,0.06191369606003749,0.11906629408189065
0.22016553924227794,0.2706269183980037,0.051111783173075506,193.66299999999998,47.43286942638198,119.7,276.4,181.4,46.99903287206122,110.0,261.0,0.044968155190375565,0.06538238579207858,0.0,0.24061536497079605,0.997921981411061,-0.5258060841967661,-0.5239154356073192,187.88672211230545,182.2132999179075,4.575448809841832,185.3,175.31174872289682,169.31779340934062,4.571823836502452,174.5,0.0,0.0,3.638984515670342,0.00800474584845232,0,0,10,83.15,83.25,0.0654710604483934,0.94,0.74,0.53,0.0,0.0,0.45999999999999996,0.01,67.41938546386676,3,3,57.096204857251124,0.020118836651725314,0.06191369606003749,0.10914044097517853
0.43194145099094117,0.34146151831740423,0.12580632438966338,196.99400000000003,49.42399086200216,119.7,276.4,184.87,49.16549151137976,110.0,261.0,0.04362264295922211,0.06506777720630494,0.0,0.23118754959000967,0.9979926320938577,-0.5660335640408183,-0.5610255787802761,190.69951155369097,184.43526362780892,4.573634543387617,198.0,178.17128369864525,171.47646037753614,4.569573020939147,185.5,0.0,0.0,3.5804100682594004,0.0,0,0,8,87.07499999999999,87.25,0.0679508951057052,0.92,0.7,0.49,0.0,0.0,0.51,0.01,56.59656374785143,4,3,44.18619924285571,0.027705175117616387,0.06191369606003749,0.09826565065890774
0.9448656030428113,1.328817217931055,0.775641154249359,211.66,44.82618507844348,132.5,276.4,199.14,44.95812192777549,120.0,261.0,0.030024031418630838,0.059662984395047476,0.0,0.23118754959000967,0.9967904721339096,-0.6414065641278781,-0.6272558272768256,206.52929995353293,201.0548211019467,4.581995350813093,226.5,193.55377539140812,187.50470956831347,4.578604934506649,214.5,0.0,0.0,3.1696872161905705,0.0,0,0,14,82.6,80.75,0.03162282145369634,0.92,0.68,0.34,0.0,0.0,0.6699999999999999,0.01,54.809307010391215,4,3,44.719120454775116,0.040367163867737754,0.06191369606003749,0.14699981375771107
0.3786414158560645,0.5315469972881119,0.4184906692851517,204.41,40.58297274433795,132.2,271.1,191.68,41.46798205065608,115.0,255.0,0.03224723131944668,0.059971712985604594,0.0,0.229867604937802,0.9967571221268262,-0.6062965317684307,-0.6017256047924938,200.11154174314834,195.55871142036696,4.584939117631571,217.5,186.80644645508735,181.5736578321774,4.580936391625601,206.0,0.0,0.0,3.263717401148356,0.0,0,0,11,63.974999999999994,67.5,0.050718106460924305,0.91,0.68,0.37,0.0,0.0,0.63,0.01,53.69176063806937,4,3,44.163873657699526,0.04066736183524511,0.06191369606003749,0.1531794482213318
0.0410973510228104,0.09089637215389904,0.1006566218438475,187.99599999999998,40.59749437459102,122.5,264.3,174.25,41.83767935893928,108.0,254.0,0.04715895938464706,0.06851523358742989,0.0,0.2243063832500678,0.9969272424980663,-0.45259661836624393,-0.46354009373616045,183.58777159184152,179.1876326613519,4.581931223168854,187.85,169.18329251028644,164.13715593527058,4.576400667142423,176.5,0.0,0.0,3.6366660231256396,0.002643297085553683,0,0,9,73.42500000000001,74.25,0.06999759569817637,0.89,0.72,0.55,0.0,0.0,0.43999999999999995,0.01,55.64271408342702,3,3,44.16985101326119,0.041167274622198935,0.06191369606003749,0.10760725556525025
0.07703200888114582,0.014618992224418472,0.022715078225519693,180.85800000000006,38.6102675934312,122.5,260.5,166.88,40.38208423636313,108.0,248.0,0.04982290628920537,0.06917438713063363,0.0,0.22413734140710834,0.996619212171076,-0.35466857942989327,-0.36566697398934334,176.77345154425032,172.75164482711688,4.5826227871439436,176.14999999999998,162.05350249195465,157.3448022635913,4.576250702193882,160.5,0.0,0.0,3.721834898938868,0.019077003548037715,0,0,8,69.125,73.75,0.07875018816441509,0.91,0.76,0.61,0.0,0.0,0.37,0.01,53.44340376430422,5,3,41.759193319396104,0.058084772370486815,0.06191369606003749,0.0937174784799369
