psi_0,psi_1,psi_2,psi_predict_proba_0,psi_predict_proba_1,psi_predict,psi_drift_flag,distance_class_True,distance_class_False,u_detect_drift_flag,overlap_predict_proba_0_predict_proba_1,omv_pth_drift_flag,predict_proba_0_ks_statistic,predict_proba_0_ks_pvalue,predict_proba_1_ks_statistic,predict_proba_1_ks_pvalue,sqsi_drift_flag,0_mean,0_std,0_min,0_max,1_mean,1_std,1_min,1_max,2_mean,2_std,2_min,2_max,predict_proba_0_mean,predict_proba_0_std,predict_proba_0_min,predict_proba_0_max,predict_proba_1_mean,predict_proba_1_std,predict_proba_1_min,predict_proba_1_max,correlation_1_0,correlation_2_0,correlation_2_1,correlation_predict_proba_0_0,correlation_predict_proba_0_1,correlation_predict_proba_0_2,correlation_predict_proba_1_0,correlation_predict_proba_1_1,correlation_predict_proba_1_2,correlation_predict_proba_1_predict_proba_0,0_gmean,0_hmean,0_entropy,0_median,1_gmean,1_hmean,1_entropy,1_median,2_gmean,2_hmean,2_entropy,2_median,predict_proba_0_gmean,predict_proba_0_hmean,predict_proba_0_entropy,predict_proba_0_median,predict_proba_1_gmean,predict_proba_1_hmean,predict_proba_1_entropy,predict_proba_1_median,0_nr_outliers,1_nr_outliers,2_nr_outliers,predict_proba_0_nr_outliers,predict_proba_1_nr_outliers,0_iqr,1_iqr,2_iqr,predict_proba_0_iqr,predict_proba_1_iqr,0_uniqueness_ratio,1_uniqueness_ratio,2_uniqueness_ratio,predict_proba_0_uniqueness_ratio,predict_proba_1_uniqueness_ratio,0_sparsity,1_sparsity,2_sparsity,predict_proba_0_sparsity,predict_proba_1_sparsity,prop_pca,compacness,kmeans_n_iter,kmeans_n_clusters,kmeans_inertia,dc_accuracy,dc_pvalue,dc_drift_flag,precision,recall,f1-score,kappa,original_idx,last_precision,last_recall,last_f1-score,last_kappa,data_type,predicted_kappa,predicted_precision,predicted_recall,predicted_f1-score
0.14051904050236394,0.21074619709293085,0.16952621497595427,0.05345050845574104,0.04782003927318998,7.453863317792354e-05,1,4.729286179376909,3.4430032869210576,1,0.8027603678149395,0,0.06266666666666666,0.8356070911097785,0.06266666666666666,0.8356070911097785,0,5.127857116987615,2.9299838775362823,0.0611916207911567,9.992365014457366,5.168868938722309,3.0111960938624867,0.0290997622456978,9.993075898234183,4.199949699592541,3.1026839851043517,0.0165994655928614,9.920771130721636,0.29463633539581163,0.4418329357920259,0.0,0.9999999999999282,0.7053636646041883,0.441832935792026,7.188297645746789e-14,1.0,-0.008287341288683511,0.030253215292764597,0.08486849405538167,-0.5441545961117118,-0.5858763754826667,0.05613898930872681,0.5441545961117118,0.5858763754826667,-0.05613898930872677,-0.9999999999999998,3.919864813150482,1.7293194901093683,4.60517018598809,5.26115167003903,3.8544080865891797,1.2709095504217245,4.60517018598809,4.890076243046186,2.640692962737041,0.6003278901548196,4.60517018598809,3.5122786508576196,0.0,0.0,4.30698138801353,5.510304284639389e-06,0.024049133816415113,5.08490035776587e-12,4.30698138801353,0.9999944896957154,0,0,0,0,0,5.0073899901301875,5.012736178361555,5.490037197748708,0.9219488578779034,0.9219488578779034,1.0,1.0,1.0,0.89,0.89,0.0,0.0,0.0,0.12,0.0,0.03,126.53183518991437,9,3,180.73757765488267,0.5,1.0,1,1.0,1.0,1.0,1.0,0:100,,,,,offline,0.9954569291083266,0.9981004770981555,0.9981004770981555,0.9981004770981555
0.10614956378314426,0.0953448466818236,0.18231312687972792,0.06264650342098738,0.06269788185969065,0.0011727933422903377,0,4.302057009344956,3.3834328362432893,0,0.6877752759157265,0,0.07333333333333333,0.6705228675296391,0.07333333333333333,0.6705228675296391,0,5.198873138890429,2.9733935260837496,0.1129788066192261,9.992365014457366,5.21394402039493,2.9098321772059537,0.1201448155361395,9.993075898234183,4.525283005384587,3.0405515263576715,0.0165994655928614,9.912916361670964,0.31708217050245,0.45515985791545116,0.0,0.9999999999999096,0.68291782949755,0.45515985791545116,9.03804341089423e-14,1.0,0.11863284501028766,0.02690641256441536,-0.07886056000883143,-0.5552736017851213,-0.6589384590512122,0.15019329249491611,0.5552736017851212,0.6589384590512122,-0.1501932924949162,-0.9999999999999998,4.023749767808978,2.262300699163489,4.60517018598809,5.141318990416195,3.990282005486973,2.121392375502483,4.60517018598809,5.441931988940107,3.029080330266567,0.7873491903090309,4.60517018598809,3.8956896511605814,0.0,0.0,4.271726769518091,1.7828277836251516e-06,0.01921037508798578,6.155692103931632e-12,4.271726769518091,0.9999982171722164,0,0,0,0,0,5.026090354432222,4.759233929766607,5.480444804929018,0.9935554106336844,0.9935554106336845,1.0,1.0,1.0,0.88,0.88,0.0,0.0,0.0,0.13,0.0,0.03,124.94202047337276,7,3,175.8209696903781,0.5,1.0,1,0.99,0.99,0.99,0.9772105742935278,30:130,,,,,offline,0.9885067516266532,0.9950530600982198,0.9950530600982198,0.9950530600982198
0.10126833384792322,0.08103302718548891,0.22445682940935974,0.015708162559833,0.021438684191179825,0.0011727933422903377,1,4.240104934640842,3.112393330467312,0,0.6813956845633695,0,0.048666666666666664,0.9727859868130885,0.048666666666666664,0.9727859868130885,0,5.024525247164806,3.127885058900084,0.1099422954251971,9.992365014457366,5.1863026047229575,2.7334005831197565,0.1201448155361395,9.89052764679359,5.005606497804734,2.7656493473163692,0.3845128051126412,9.963133253003654,0.3192128073057373,0.440343638151054,0.0,0.9999999999999096,0.6807871926942629,0.440343638151054,9.03804341089423e-14,1.0,0.03949655924289358,-0.09622099782364972,-0.030023272289336198,-0.5429745729993789,-0.6277784511368633,0.14946828065737888,0.542974572999379,0.6277784511368633,-0.1494682806573789,-1.0000000000000002,3.4825813467856164,1.461210126300363,4.60517018598809,5.184348300794694,4.050919524866098,2.170972073750103,4.60517018598809,5.6266675371837795,3.9861647915314284,2.714647733545459,4.60517018598809,4.876363626830365,0.0,0.0,4.30698138801353,0.00021376822335905654,0.024685353349846912,6.182195704509665e-12,4.30698138801353,0.9997862317766409,0,0,0,0,0,5.356909368381677,4.451994957251779,5.016430690980412,0.9106951248134638,0.9106951248134638,1.0,1.0,1.0,0.89,0.89,0.0,0.0,0.0,0.12,0.0,0.03,130.22314186802762,13,3,190.03715946332002,0.5,1.0,1,0.99,0.99,0.99,0.9772105742935278,60:160,,,,,offline,0.9796332650967192,0.9913939384392547,0.9913939384392547,0.9913939384392547
0.1084211906734521,0.050310477383827545,0.16732366625563638,0.0703144859743617,0.06879192081692447,0.0001662770366475101,0,4.180370228162188,3.3845314914575035,0,0.6578764211315674,0,0.09866666666666667,0.3034694014291436,0.09866666666666667,0.3034694014291436,0,5.192634300796978,3.0109433551871025,0.1099422954251971,9.918490316811756,5.379279380839992,2.794103727178324,0.2018370832372373,9.759287887250702,5.093261743058,2.875979795796311,0.0555220327577665,9.963133253003654,0.30789624830385093,0.43379262214047376,0.0,0.9999999999999842,0.6921037516961489,0.43379262214047376,1.5806621469233497e-14,1.0,0.07555697663319182,-0.08603972058559699,0.075037782033538,-0.5988575646733777,-0.5840767292001177,0.033631116547154775,0.5988575646733777,0.5840767292001178,-0.033631116547154824,-1.0000000000000002,3.6905007018908758,1.6307511440522338,4.60517018598809,5.4057223543414965,4.232318435420171,2.5392793460622944,4.60517018598809,5.738663236132185,3.6751460601156887,1.3576400626203926,4.60517018598809,5.419692233109783,0.0,0.0,4.293118444402332,5.302717182564809e-05,0.03913817587963154,1.3429345148471201e-12,4.293118444402332,0.9999469728281744,0,0,0,0,0,5.0463006736390135,4.642315623260516,4.986648243703302,0.8649740341648644,0.8649740341648644,1.0,1.0,1.0,0.88,0.88,0.0,0.0,0.0,0.12,0.0,0.03,129.1344169920716,3,3,186.57807396136883,0.5,1.0,1,0.99,0.99,0.99,0.9768303985171455,90:190,,,,,offline,0.987682400395002,0.9949289840147552,0.9949289840147552,0.9949289840147552
0.05460766849189991,0.0659997253482335,0.10314758383117392,0.05641240497976379,0.051029690790575795,0.020296169398430562,0,4.364920277325861,3.268811315827069,0,0.5437886371482594,0,0.12066666666666667,0.12131139143911408,0.12066666666666667,0.12131139143911408,0,5.3952515006411526,2.947850897367656,0.1099422954251971,9.948425292403906,5.4363202507635515,2.854493121151387,0.1154927542066497,9.759287887250702,4.820809866516959,2.9245379384798627,0.0555220327577665,9.963133253003654,0.2500243902826951,0.41175777572119165,0.0,0.9999999999999842,0.7499756097173049,0.41175777572119165,1.5806621469233497e-14,1.0,5.930143365088183e-05,-0.05482046245021446,-0.017094920446700534,-0.5373837162223053,-0.5756906256892477,0.06258209886178316,0.5373837162223054,0.5756906256892478,-0.06258209886178315,-1.0000000000000002,4.0347720195272085,1.8759092286952552,4.60517018598809,5.852452575169771,4.251082653729803,2.35821809643633,4.60517018598809,5.939568384378431,3.232768212835677,1.0367222915584862,4.60517018598809,4.561953589203769,0.0,0.0,4.361048733077487,5.9932936454232255e-06,0.05611991460572224,1.5750409861119474e-12,4.361048733077487,0.9999940067063546,0,0,0,0,0,5.049256106189343,5.068315043486416,4.498898771963516,0.48962204054031966,0.48962204054031966,1.0,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.09999999999999998,0.0,0.03,130.18657797300594,5,3,189.0787929840228,0.5,1.0,1,1.0,1.0,1.0,1.0,120:220,,,,,offline,0.9938911213321681,0.9977936917174673,0.9977936917174673,0.9977936917174673
0.11980753525264942,0.15084841518280823,0.14997333683576675,0.11896660356030431,0.12766375558928017,0.035853431384979775,0,4.712606899706372,3.316034190930176,1,0.4934985988674534,0,0.15666666666666668,0.01807186616757647,0.15666666666666668,0.01807186616757647,0,5.645402421780958,2.931562904424562,0.0586625870592816,9.948425292403906,5.426224768739562,3.0356184516510787,0.1154927542066497,9.938974860196137,5.07385461788708,3.0329337033380366,0.0555220327577665,9.807858295486556,0.22581433330142878,0.40041431839256497,0.0,0.9999999999999976,0.7741856666985713,0.40041431839256497,2.41969449921492e-15,1.0,-0.011764188603978811,-0.05031336118877964,-0.05418723894596279,-0.5308241780985699,-0.552113876702146,0.03676422346598679,0.5308241780985696,0.5521138767021458,-0.036764223465986755,-1.0,4.129227742348451,1.2509203586561382,4.60517018598809,6.010384538301722,4.084592181844324,2.1523925378834186,4.60517018598809,5.877786687583729,3.373245644657389,1.0420307132907862,4.60517018598809,5.345900671003999,0.0,0.0,4.30698138801353,4.045109035677452e-06,0.061854193434738525,2.0979536665132818e-13,4.30698138801353,0.9999959548909643,0,0,0,23,23,4.783261146999109,5.454634755228713,4.7728703477463785,0.13452395934317277,0.13452395934317274,1.0,1.0,1.0,0.89,0.89,0.0,0.0,0.0,0.12,0.0,0.03,128.53298084152397,17,3,187.92850167936194,0.5,1.0,1,1.0,1.0,1.0,1.0,150:250,,,,,offline,0.9896042944391563,0.996229734891167,0.996229734891167,0.996229734891167
0.09247715633330315,0.17025009310303119,0.09372373274732917,0.10905739391731642,0.12070104137014408,0.04551308276228254,0,4.396634798675888,2.746760117665258,0,0.49066757210323797,0,0.14933333333333335,0.02773257520707514,0.14933333333333335,0.02773257520707514,0,5.491843691746588,2.8237317822257517,0.0586625870592816,9.948425292403906,5.530961589392937,3.0228570891261906,0.1154927542066497,9.938974860196137,4.915147577069269,2.8722815756266935,0.083104528018989,9.798971342416603,0.22019610768634543,0.405955653946045,0.0,0.9999999999999976,0.7798038923136547,0.405955653946045,2.41969449921492e-15,1.0,0.0027654585301321788,0.03967454801871383,-0.0843381897305596,-0.5244198370833645,-0.5764842210122251,-0.02413308926383886,0.5244198370833645,0.5764842210122252,0.02413308926383891,-1.0000000000000002,4.240455818127232,1.5620074380715419,4.60517018598809,5.686740469484321,4.305907559896231,2.4076626962889516,4.60517018598809,5.429332710584086,3.463078512824033,1.3064185374852935,4.60517018598809,4.610556874918591,0.0,0.0,4.30698138801353,9.873510842250965e-07,0.051951966850964905,2.4172526894046037e-13,4.30698138801353,0.9999990126489158,0,0,0,23,23,4.12398999934166,5.938109882332779,4.427828013973671,0.039962859010256424,0.03996285901025631,1.0,1.0,1.0,0.89,0.89,0.0,0.0,0.0,0.12,0.0,0.03,123.84632090178084,9,3,176.71905589245546,0.5,1.0,1,1.0,1.0,1.0,1.0,180:280,,,,,offline,0.9960491743341506,0.9985733662341725,0.9985733662341725,0.9985733662341725
0.12479250031779074,0.2593915471923737,0.11978353847670045,0.08624104781056036,0.08383457460798935,0.035853431384979775,1,4.565380084514236,2.414864029037561,0,0.5841497648693728,0,0.128,0.08570030459765807,0.128,0.08570030459765807,0,5.3907695886089595,2.8866913709385646,0.0586625870592816,9.99850010073587,5.715941820584379,2.9433128383818725,0.3539978027103319,9.938974860196137,5.181235173140042,2.8213874589509356,0.1112315313835177,9.798971342416603,0.23243010297452887,0.40636662515191796,0.0,0.9999999999999976,0.7675698970254712,0.406366625151918,2.41969449921492e-15,1.0,-0.0441598829424718,-0.04212041231605101,0.002752928427897713,-0.5307201254248802,-0.5270754533657566,0.059676352999106466,0.53072012542488,0.5270754533657566,-0.059676352999106494,-1.0,4.088158276899605,1.493915716685274,4.60517018598809,5.365654310167232,4.666024558938303,3.239173575422225,4.60517018598809,5.347271406978535,3.911771568250113,1.8236215791828188,4.60517018598809,4.9632302264633745,0.0,0.0,4.235702159841953,7.327728526740351e-07,0.08685695799145124,2.4178079993737627e-13,4.235702159841953,0.9999992672271474,0,0,0,23,23,4.4458761447070625,5.6411351409842645,4.49836512927198,0.21539015343885856,0.2153901534388586,1.0,1.0,1.0,0.87,0.87,0.0,0.0,0.0,0.14,0.0,0.03,126.73229755020219,6,3,187.95246928573283,0.5,1.0,1,0.99,0.99,0.99,0.9721913236929922,210:310,,,,,offline,0.9818101307561986,0.9935537158698663,0.9935537158698663,0.9935537158698663
0.07732365984574048,0.20631417684496503,0.14026110693083388,0.032200982806849764,0.032122484666628294,0.014282131321713007,1,4.924686243460927,2.672842530319804,1,0.5683160614452345,0,0.086,0.469635574279064,0.086,0.469635574279064,0,5.063829707608416,2.975324189768096,0.0589096768728814,9.99850010073587,5.540164965701589,2.9736037974531495,0.1795128594354911,9.83727167309322,4.950931836804277,2.9845304575872125,0.1112315313835177,9.971742163666326,0.2613589801746244,0.41827712974792314,0.0,0.9999999999999976,0.7386410198253757,0.41827712974792314,2.41969449921492e-15,1.0,-0.07948978220797373,0.05101355934286323,0.033175410966721414,-0.5509997866988837,-0.5295915101128648,-0.05244320999322861,0.5509997866988837,0.5295915101128648,0.05244320999322863,-1.0000000000000002,3.743760198486406,1.7073640241560193,4.60517018598809,5.117326798421877,4.409882082208585,2.774517889976823,4.60517018598809,5.359639536079017,3.5909263200488115,1.6784927029708827,4.60517018598809,4.607679072201178,0.0,0.0,4.30698138801353,1.5720869175617214e-05,0.0464688304243675,2.37539529284273e-13,4.30698138801353,0.9999842791308244,0,0,0,0,0,4.950453214608567,5.586121482069906,5.323127524160772,0.6563162650530888,0.6563162650530888,1.0,1.0,1.0,0.89,0.89,0.0,0.0,0.0,0.12,0.0,0.03,126.30482726560845,8,3,182.80250823207842,0.5,1.0,1,0.99,0.99,0.99,0.9743326488706365,240:340,,,,,offline,0.9839235467257352,0.9938760220402606,0.9938760220402606,0.9938760220402606
0.04042666895607068,0.09237665297476813,0.10928868095147964,0.037643040822126675,0.020876151040569453,0.005541216878789449,0,5.106197662051926,2.6483521911015013,1,0.6635307537578156,0,0.08666666666666667,0.4598162166750007,0.08666666666666667,0.4598162166750007,0,5.12597798331792,3.011195459444679,0.3300369115991652,9.99850010073587,5.494687977984075,2.833168543129149,0.1795128594354911,9.750893140311767,4.820484857472253,3.1182808824576247,0.1112315313835177,9.971742163666326,0.2804625124584774,0.4256775009949264,0.0,0.999999999999858,0.7195374875415225,0.42567750099492635,1.419582245875409e-13,1.0,-0.08502901322094533,0.15643142994051246,-0.03248271144439915,-0.5321470962872044,-0.533380122363067,-0.11995698522104967,0.5321470962872044,0.533380122363067,0.11995698522104976,-1.0000000000000002,3.904654147812044,2.4207911623642264,4.60517018598809,5.06847343575015,4.459053657987177,2.886807681903726,4.60517018598809,5.589721853216972,3.342120264938505,1.5183156228312074,4.60517018598809,4.645963941206352,0.0,0.0,4.271726769518091,1.79950269670881e-05,0.06476937376199643,1.3496009224137914e-11,4.271726769518091,0.9999820049730329,0,0,0,0,0,5.29116331782442,5.208818742173191,5.788075843705719,0.809933117769613,0.809933117769613,1.0,1.0,1.0,0.88,0.88,0.0,0.0,0.0,0.13,0.0,0.03,127.8431966821694,7,3,184.3163191380229,0.5,1.0,1,0.99,0.99,0.99,0.9754661432777233,270:370,,,,,offline,0.980928958180697,0.9921540427056958,0.9921540427056958,0.9921540427056958
